Timestamp,X,Y,Z,Xangle,Yangle,Zangle
15.12912,0.4038432,1.178583,0.6834378,0.2189554,-0.3497875,-0.2704833
15.15299,0.4014626,1.17532,0.6918386,0.2409642,-0.3507054,-0.2810001
15.18487,0.3973615,1.168721,0.7016559,0.2762707,-0.3502865,-0.2957455
15.21419,0.3937318,1.161049,0.7095118,0.303973,-0.3551973,-0.2827569
15.25149,0.3907814,1.155787,0.7174453,0.3237836,-0.3491934,-0.2811432
15.29681,0.3860288,1.155755,0.7268136,0.3276963,-0.3488858,-0.2937767
15.32191,0.382019,1.154044,0.7318752,0.3337434,-0.3441342,-0.2889944
15.34614,0.3795087,1.152906,0.7342708,0.3375308,-0.3437367,-0.2830772
15.37042,0.3771889,1.15124,0.735635,0.3427694,-0.3437084,-0.2779849
15.3959,0.3743091,1.148911,0.7352917,0.3497912,-0.3439165,-0.2701564
15.42018,0.371861,1.147636,0.7348777,0.3540671,-0.3469716,-0.2630031
15.44434,0.3683372,1.146827,0.7316442,0.3609929,-0.3578085,-0.2504417
15.46827,0.3658762,1.147025,0.7287542,0.3666449,-0.3657716,-0.243867
15.49242,0.3633735,1.147878,0.7253509,0.3726787,-0.3731039,-0.2426402
15.51645,0.3611004,1.148516,0.7221214,0.3757098,-0.3806639,-0.2420213
15.54063,0.3598816,1.148758,0.7198215,0.379532,-0.3848414,-0.2404438
15.56493,0.3593388,1.148263,0.7188772,0.3809689,-0.3844326,-0.2358732
15.59013,0.3608556,1.147202,0.7213348,0.3755993,-0.3757052,-0.2266497
15.61528,0.3612494,1.146729,0.7225587,0.3709096,-0.3744234,-0.2208563
15.65132,0.3617315,1.1467,0.7225138,0.3707343,-0.3764648,-0.2191892
15.67618,0.3627417,1.145469,0.7226943,0.3752761,-0.3712537,-0.2200777
15.701,0.3645678,1.144425,0.7228465,0.3790273,-0.3682816,-0.2160199
15.72992,0.365031,1.144192,0.7214074,0.3822758,-0.36962,-0.2153373
15.75399,0.3645849,1.144912,0.7190279,0.3846875,-0.3760661,-0.2146987
15.77839,0.3642199,1.14579,0.7164074,0.3840668,-0.3804979,-0.2112124
15.80319,0.363622,1.147121,0.7155726,0.3822036,-0.3805941,-0.2111974
15.82996,0.3623092,1.148945,0.7141989,0.3798006,-0.3823547,-0.2116117
15.85479,0.3604689,1.15137,0.7114737,0.3798504,-0.3864869,-0.2125529
15.87882,0.3566945,1.155643,0.7078836,0.3783115,-0.3923367,-0.21661
15.90279,0.3541634,1.158435,0.7058849,0.3762611,-0.3945852,-0.2183983
15.92686,0.3516498,1.16118,0.7040009,0.3738046,-0.3952906,-0.2174668
15.95072,0.3495567,1.163798,0.702019,0.3725109,-0.3973258,-0.2169312
15.97442,0.3477502,1.166099,0.6998218,0.3733612,-0.3992772,-0.2155244
15.99867,0.3468661,1.168529,0.698114,0.3711207,-0.4026036,-0.2123502
16.02281,0.3455205,1.170975,0.6961488,0.369786,-0.4046533,-0.211836
16.04749,0.3450935,1.171983,0.6958206,0.3681031,-0.4025109,-0.2107241
16.07218,0.3454154,1.17253,0.6955273,0.366817,-0.3994186,-0.2079327
16.09698,0.345825,1.173321,0.695147,0.3650432,-0.3993672,-0.2051717
16.12255,0.346494,1.173558,0.6940004,0.3669031,-0.399842,-0.2056658
16.14773,0.3476145,1.173311,0.6933048,0.3658582,-0.3992926,-0.2023453
16.17234,0.3492751,1.172635,0.6929121,0.3642059,-0.3979745,-0.193546
16.19754,0.3509152,1.172263,0.6932585,0.3616275,-0.3960354,-0.1895376
16.22172,0.3524683,1.172291,0.692354,0.3613501,-0.3991139,-0.1903991
16.24606,0.3536267,1.171631,0.6915131,0.3616831,-0.4028929,-0.1875473
16.2722,0.3544106,1.171067,0.6909516,0.3599146,-0.4089115,-0.1827526
16.29703,0.3554001,1.169798,0.692524,0.3614171,-0.4047897,-0.1859355
16.32129,0.3569598,1.16939,0.6961707,0.3546212,-0.399389,-0.1896391
16.3453,0.3605697,1.167699,0.69988,0.3501112,-0.3941582,-0.1884083
16.36943,0.3622167,1.16611,0.7004222,0.356203,-0.395357,-0.1938501
16.39361,0.3641484,1.165008,0.7008913,0.3595504,-0.3959103,-0.1992994
16.41764,0.3655183,1.164036,0.7007622,0.3637024,-0.3994114,-0.2051847
16.4415,0.3672664,1.162852,0.7012019,0.3650903,-0.4016534,-0.2073507
16.46564,0.3696635,1.161188,0.7018194,0.3640468,-0.4080581,-0.2027124
16.49091,0.3715615,1.160221,0.702152,0.3624653,-0.4133324,-0.2018472
16.51543,0.3728344,1.159453,0.7027986,0.3648127,-0.4146314,-0.2101691
16.54037,0.374438,1.157813,0.7042459,0.3684393,-0.4100245,-0.2185582
16.56514,0.3761568,1.156017,0.7059046,0.3671115,-0.4086144,-0.2193353
16.58978,0.3776972,1.153686,0.7059357,0.3689587,-0.4119069,-0.2192199
16.61369,0.3784959,1.151968,0.7054666,0.3728381,-0.4128096,-0.2211416
16.63857,0.379046,1.150778,0.7051053,0.3753622,-0.4129044,-0.2240887
16.68081,0.3802063,1.149336,0.7056241,0.3705782,-0.4105582,-0.2229662
16.75393,0.3797252,1.150286,0.7047755,0.3696548,-0.4140003,-0.2327828
16.77831,0.3797047,1.150973,0.7031224,0.3708933,-0.4172337,-0.2323174
16.80299,0.3792663,1.151591,0.7012624,0.3721235,-0.4203953,-0.2295393
16.82957,0.3789563,1.152796,0.6994013,0.3711915,-0.4243801,-0.2260954
16.8539,0.3782694,1.154795,0.6977259,0.3693368,-0.4270271,-0.2230115
16.87812,0.3767273,1.158725,0.6943899,0.3666468,-0.4335057,-0.2230356
16.90437,0.3756468,1.161214,0.6921254,0.3661212,-0.4378982,-0.2241561
16.9291,0.3746395,1.163789,0.6902429,0.3648961,-0.4409217,-0.2245345
16.95393,0.3741653,1.165708,0.6889653,0.3641608,-0.4414833,-0.2257205
16.97877,0.3734496,1.166971,0.6879125,0.364518,-0.4390611,-0.2245428
17.00426,0.3725948,1.167208,0.6867664,0.3622658,-0.442456,-0.2175621
17.03206,0.3715878,1.167694,0.6854976,0.3613923,-0.4453102,-0.2141175
17.05676,0.3702033,1.168656,0.6846741,0.3592893,-0.4457561,-0.2144686
17.08151,0.3684399,1.169755,0.6838839,0.3580071,-0.4466953,-0.2143876
17.10705,0.3657494,1.170763,0.682767,0.3586033,-0.4487732,-0.2159559
17.13217,0.3622363,1.171951,0.6820081,0.3570316,-0.4496626,-0.2168286
17.15676,0.3564811,1.173277,0.6812043,0.3522442,-0.4499941,-0.2148671
17.18189,0.3516269,1.173859,0.6795533,0.3499344,-0.4534468,-0.2107403
17.20651,0.3463054,1.17447,0.6776119,0.3489718,-0.4574231,-0.2071578
17.23063,0.3406167,1.17456,0.6758819,0.3485745,-0.4603533,-0.2017582
17.25529,0.3321331,1.175058,0.6749003,0.3448156,-0.4607426,-0.1969339
17.27987,0.3261797,1.175195,0.6739044,0.3438376,-0.46129,-0.1952973
17.30493,0.3199956,1.175522,0.6724949,0.3443754,-0.4624114,-0.1951471
17.33008,0.3138733,1.175522,0.6709191,0.3429718,-0.4653639,-0.1925371
17.35499,0.3043611,1.174752,0.6676383,0.3424836,-0.4693268,-0.1850677
17.37968,0.2985301,1.174027,0.6661185,0.3411624,-0.4702902,-0.1795653
17.40534,0.2925079,1.172841,0.6646899,0.3401541,-0.4702023,-0.1746899
17.43118,0.2860258,1.171761,0.6625245,0.3409283,-0.4717641,-0.1709955
17.45728,0.2760913,1.170599,0.660133,0.3401661,-0.4743747,-0.1663748
17.48382,0.269568,1.169752,0.6584184,0.3383717,-0.4760168,-0.1637825
17.51042,0.2605555,1.168783,0.6556363,0.3381218,-0.4768899,-0.1621647
17.53761,0.2544782,1.16883,0.6536222,0.3376853,-0.4795738,-0.1606647
17.56572,0.2455876,1.168702,0.6497024,0.3407697,-0.4818714,-0.1615835
17.59687,0.2400365,1.168744,0.64665,0.3399267,-0.4842806,-0.1591399
17.63112,0.2309442,1.1686,0.6422668,0.3357549,-0.4903203,-0.1515483
