Timestamp,X,Y,Z,Qx,Qy,Qz,Qw
15.4001,0.8256257,1.097742,-0.06711788,-0.137783,-0.8638988,0.01706148,0.4841525
15.42294,0.8242897,1.095705,-0.06571747,-0.1340711,-0.8646201,0.01658652,0.4839235
15.44591,0.8232853,1.093505,-0.06487219,-0.1272874,-0.8666153,0.01452072,0.4822499
15.46853,0.8223888,1.092046,-0.06413318,-0.1206259,-0.8692212,0.01276729,0.479313
15.49139,0.8221985,1.091461,-0.06369983,-0.1191863,-0.8721412,0.01359646,0.4743199
15.51406,0.8219707,1.091604,-0.06303515,-0.119299,-0.8750886,0.01469009,0.4687984
15.53714,0.8207169,1.094127,-0.059588,-0.121891,-0.8781937,0.01443014,0.4622881
15.55978,0.8186653,1.096952,-0.05521818,-0.1213738,-0.8794229,0.01010828,0.4601974
15.58227,0.8170198,1.100283,-0.05122353,-0.1205271,-0.8813111,0.004542918,0.4568844
15.60582,0.8157232,1.103052,-0.04824652,-0.1199493,-0.8845593,-0.0005593965,0.4507402
15.62825,0.8153709,1.10462,-0.04569452,-0.1195958,-0.8887481,-0.003708608,0.4425041
15.65077,0.8154101,1.106027,-0.04317503,-0.1201896,-0.893013,-0.006385106,0.4336375
15.67315,0.8157303,1.10754,-0.04064186,-0.1201409,-0.8978384,-0.009730467,0.4235064
15.69654,0.8171281,1.109234,-0.03849177,-0.1209963,-0.9035046,-0.01333922,0.4109277
15.71945,0.8191447,1.110211,-0.03632225,-0.1214495,-0.9095585,-0.01620274,0.3971031
15.74253,0.8214236,1.110176,-0.03350987,-0.1198322,-0.9158936,-0.01766565,0.3827103
15.76564,0.8238159,1.109778,-0.03043045,-0.1200362,-0.9219139,-0.01730904,0.3679218
15.78824,0.8276731,1.108264,-0.0271944,-0.1232405,-0.9280948,-0.01322648,0.3511082
15.81208,0.8328876,1.105885,-0.02412023,-0.1272233,-0.934538,-0.006897783,0.3322732
15.83514,0.8385453,1.103954,-0.02019672,-0.1348056,-0.9399517,-0.0001220703,0.3135574
15.8581,0.8423365,1.103422,-0.0140921,-0.144141,-0.9429901,0.004175447,0.2999593
15.88048,0.843567,1.103719,-0.006081119,-0.1459485,-0.9453341,0.003374091,0.2916011
15.90287,0.8433059,1.104964,0.002691105,-0.142912,-0.9472201,-0.001064184,0.2869652
15.92525,0.8444434,1.10328,0.01455291,-0.1370782,-0.9508412,-0.001949307,0.2776811
15.94763,0.8468893,1.100277,0.02066259,-0.1337751,-0.9538971,0.002234254,0.2686625
15.96994,0.8504869,1.097307,0.02610074,-0.1319172,-0.9570161,0.007032564,0.2582026
15.99252,0.8535218,1.095722,0.03115986,-0.1333219,-0.9590196,0.01108423,0.2497675
16.01566,0.8553401,1.095201,0.03609227,-0.1341272,-0.9604687,0.01314341,0.243592
16.03846,0.8567469,1.096048,0.04022421,-0.1303929,-0.9622612,0.0110627,0.2385974
16.06098,0.8588275,1.097622,0.04352961,-0.1222387,-0.9647856,0.005796733,0.2328365
16.0842,0.8615282,1.098578,0.04607733,-0.1149572,-0.967316,0.002142325,0.2260088
16.10657,0.8650054,1.097922,0.0474367,-0.1121679,-0.9695711,0.002214155,0.2175902
16.12912,0.8688468,1.096555,0.04813771,-0.1129444,-0.9715161,0.004534711,0.2082773
16.15153,0.8723162,1.095373,0.04885747,-0.1115446,-0.9734962,0.005872077,0.1995707
16.17391,0.8747593,1.095289,0.04965578,-0.1070721,-0.9754088,0.004601581,0.1925932
16.19657,0.8761957,1.095974,0.05063961,-0.1038038,-0.9767288,0.002341715,0.1876702
16.22042,0.8763842,1.09642,0.05176289,-0.1014596,-0.9775488,0.001021313,0.184671
16.24302,0.87608,1.095645,0.05254392,-0.09827047,-0.9783663,0.001646819,0.1820427
16.26545,0.8758642,1.095183,0.05313851,-0.09634063,-0.9790249,0.001998377,0.1795127
16.28781,0.8753178,1.095445,0.05350716,-0.09317252,-0.979629,0.0009455526,0.1778906
16.31019,0.8743472,1.097001,0.0529076,-0.0891817,-0.9804065,-0.0008279211,0.1756391
16.33253,0.8756005,1.097805,0.05270709,-0.0876634,-0.9810684,-0.002046271,0.1726722
